City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Geraldton,AU,-28.7667,114.6,54.01,94,0,6.91,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,83,75,10.36,broken clouds
81,Faanui,PF,-16.4833,-151.75,80.15,79,6,22.06,light rain
82,Mamakan,RU,57.8161,114.0028,5.92,96,100,0.07,overcast clouds
83,Atar,MR,20.5169,-13.0499,80.15,33,93,7.34,overcast clouds
84,Fengrun,CN,39.8333,118.1167,38.75,57,100,1.9,overcast clouds
85,Cap Malheureux,MU,-19.9842,57.6142,76.46,68,14,5.99,few clouds
86,Hermanus,ZA,-34.4187,19.2345,63.9,83,3,11.21,clear sky
87,Tamiahua,MX,21.2667,-97.45,67.1,75,100,15.79,overcast clouds
88,Ancud,CL,-41.8697,-73.8203,62.13,72,9,5.19,clear sky
89,Whitehorse,CA,60.7161,-135.0538,-1.89,70,20,3.0,few clouds
90,Hobart,AU,-42.8794,147.3294,52.11,91,75,9.22,light intensity drizzle
91,Chuy,UY,-33.6971,-53.4616,70.2,57,1,10.65,clear sky
92,Synya,RU,65.3718,58.0387,20.08,92,100,13.35,light snow
93,Sur,OM,22.5667,59.5289,73.98,62,0,6.13,clear sky
94,Hovd,MN,48.0056,91.6419,11.43,25,0,6.53,clear sky
95,Port Elizabeth,ZA,-33.918,25.5701,59.29,82,20,3.44,few clouds
96,Bengkulu,ID,-3.8004,102.2655,75.38,87,100,4.16,overcast clouds
97,Zlobin,HR,45.2924,14.6541,47.62,68,0,2.3,clear sky
98,Antalaha,MG,-14.9003,50.2788,72.59,86,21,4.59,light rain
99,Haines Junction,CA,60.7522,-137.5108,-4.05,59,21,2.3,few clouds
100,Puerto Ayora,EC,-0.7393,-90.3518,76.96,85,46,10.0,scattered clouds
101,Abulug,PH,18.4453,121.4533,78.78,74,99,6.06,overcast clouds
102,Carballo,ES,43.213,-8.691,54.82,73,0,4.03,clear sky
103,Mataura,NZ,-46.1927,168.8643,62.1,56,100,7.07,moderate rain
104,Tautira,PF,-17.7333,-149.15,87.82,72,37,18.99,scattered clouds
105,Nome,US,64.5011,-165.4064,1.17,65,1,3.44,clear sky
106,Namibe,AO,-15.1961,12.1522,72.68,68,9,3.33,clear sky
107,Ashtabula,US,41.7001,-80.7665,40.32,76,90,5.75,overcast clouds
108,Hamilton,US,39.1834,-84.5333,43.93,51,40,1.01,scattered clouds
109,Jamestown,US,42.097,-79.2353,38.79,79,90,10.0,overcast clouds
110,Tyulgan,RU,52.3405,56.166,18.79,95,100,11.95,overcast clouds
111,Isangel,VU,-19.55,169.2667,77.11,83,75,10.36,broken clouds
112,Nikolskoye,RU,59.7035,30.7861,39.87,98,100,5.03,light rain
113,Bambous Virieux,MU,-20.3428,57.7575,76.21,69,40,11.5,scattered clouds
114,Verkhnevilyuysk,RU,63.4453,120.3167,-17.5,99,100,2.66,overcast clouds
115,Campohermoso,ES,36.9357,-2.1337,64.11,81,100,16.84,overcast clouds
116,Tekeli,KZ,44.83,78.8239,12.4,52,13,11.41,few clouds
117,Vegueta,PE,-11.0231,-77.6431,67.3,78,89,9.37,overcast clouds
118,Banda Aceh,ID,5.5577,95.3222,78.89,79,100,5.5,light rain
119,Peremyshlyany,UA,49.6652,24.5585,46.72,92,100,21.68,overcast clouds
120,Sal Rei,CV,16.1833,-22.9167,75.76,80,100,11.65,overcast clouds
121,Castro,BR,-24.7911,-50.0119,65.95,90,55,7.27,broken clouds
122,Nalut,LY,30.3333,10.85,65.23,58,100,18.86,overcast clouds
123,Qaqortoq,GL,60.7167,-46.0333,23.5,79,100,9.8,overcast clouds
124,Saldanha,ZA,-33.0117,17.9442,59.05,81,0,21.43,clear sky
125,Ostrovnoy,RU,68.0531,39.5131,24.91,95,100,1.63,overcast clouds
126,Ust-Maya,RU,60.4167,134.5333,-23.6,100,98,0.04,overcast clouds
127,Port Hardy,CA,50.6996,-127.4199,46.4,76,75,8.05,broken clouds
128,Pishva,IR,35.308,51.7267,45.61,59,100,1.07,overcast clouds
129,Bethel,US,41.3712,-73.414,45.91,53,11,3.0,few clouds
